,User,Tweet
29,subhamsenapaty,"To all #BJP bhakts, it's an open challenge.
I need loan from any central government scheme.

#Note- 
1. All documents are ready.
2. Credit score is good.
@narendramodi @girirajsinghbjp @drramansingh @dpradhanbjp
@BJP4India @PMOIndia @sambitswaraj @AmitShah @minmsme"
30,soumyasarkar007,If voted power @narendramodi should not make the mistake by considering @arunjaitley as FM. It will be the worst case for the economy. #AbkiBaar300Paar #BJP #ApnaModiAayega #AyegaTohModiHi
31,Od_Vigilante,Increase the #Retirement #Age to 62 @narendramodi ji. #Kedarnath #HarHarMahadev #BJP #Election2019Results #Election2019 #RealHeroesOfHumanity @BJP4India @AmitShah
32,Scorpion1007,@IndiaToday @narendramodi What kind of bloody drama is this by this #bjp clown now?
33,devenrolly1987,"@ArvindKejriwal  My dear sir G The number of times you have chanted Modi Modi or BJP BJP till now,if it had been Ram Ram chanting the God would have come to earth till now. 
#LokSabhaElections2019 #Elections2019 #ModiHaiTohGodseHai #Modi #ModiOnBharat #NarendraModiJindabad #BJP"
34,BapiM14,"@IYCTelangana @IncBasavakalyan @narendramodi @IYC @INCIndia @RahulGandhi @priyankagandhi @HardikPatel_ @Allavaru @keshavyadaviyc @srinivasiyc @srivatsayb @RakshaRamaiah @JM_Scindia This is called in #BJP language,
""A Swatch &amp; Swasth Hindutva"" !!! This theory not applicable to any other person, except #BJPians! 
Question: Demonic possession of !!!!"
35,touthang_seiboi,"@sidmtweets @indosecular Good night Modi, wish you a sound sleep and enjoy the luxury Bed of kedernath @narendramodi 
#bjp"
36,AKLalB,"@June12born @koenamitra @rishibagree @SuPriyoBabul @narendramodi @AmitShah @HMOIndia .@rashtrapatibhvn @PMOIndia @HMOIndia @AmitShah @BJP4India @BJP4Bengal Ask @ECISVEEP to order re-polls in all #WestBengal booths under Army with orders to arrest miscreants and irrant officials,book @MamataOfficial for #Hindu #Genocide in #Elections #Modi #AmitShah #BJP #BREAKING"
37,AKLalB,"@koenamitra @SuPriyoBabul @narendramodi @AmitShah @HMOIndia .@rashtrapatibhvn @PMOIndia @HMOIndia @AmitShah @BJP4India @BJP4Bengal Ask @ECISVEEP to order re-polls in all #WestBengal booths under Army with orders to arrest miscreants and irrant officials,book @MamataOfficial for #Hindu #Genocide in #Elections #Modi #AmitShah #BJP #BREAKING"
38,NrVinayakumar,@amithShahBjp Dear NARENDRA Modi ji please do river attachment other wise in karnataka hole people are daid because of no water in karnataka now the famous dharmastala netravati river no water save dharmastala #narendramodi #amithsha
39,NrVinayakumar,@PMOIndia Dear NARENDRA Modi ji please do river attachment other wise in karnataka hole people are daid because of no water in karnataka now the famous dharmastala netravati river no water save dharmastala #narendramodi #savedharmastala
40,NrVinayakumar,Dear NARENDRA Modi ji please do river attachment other wise in karnataka hole people are daid because of no water in karnataka now the famous dharmastala netravati river no water save dharmastala #narendramodi #amithsha
41,mayursejpal,"My Predictions

BJP+NDA = 300 to 310
Congress + UPA = 100 to 110
Mahagathbandhan = 100 to 110

Agree with me ?
@narendramodi @AmitShah
@BJP4India 
@RahulGandhi @priyankagandhi
@INCIndia
#Yeti
#KejriwalAssassinationClaim
#Kedarnath
#AshokLavasa
#IndiraGandhi
#LokSabhaElections2019"
42,mayursejpal,"What will be the 23rd May result for BJP + NDA ?

@narendramodi @AmitShah
@BJP4India
#Yeti
#KejriwalAssassinationClaim
#Kedarnath
#AshokLavasa
#IndiraGandhi
#LokSabhaElections2019"
43,NudgeIndia,There are 2 nations in India. The sychophants outnumber the Liberals 10:1 and that's why Modi will get re-elected. #LokSabhaElections2019 #Elections2019
44,lokayat,"Kedarnath ke naam pe de de baba.
Basically Modi is again using religion for his political gain.
#Kedarnath #ModiInKedarnath 
#LokSabhaElections2019"
45,ravirao83,@SitaramYechury You guys have a problem with everything that Modi does especially anything that's Hindu. Take time to look after the sorry state of your own party! #LokSabhaElections2019 #Kedarnath
46,INC_KONARKKD,@RahulGandhi RG Next PM of india #LokSabhaElections2019
47,OnkarMhaskar,"After @narendramodi 's silent press conference:
Bhakts: Chahe tum kuch na kaho, maine sunn liya...
#ModiFlopPressConference #Bhakt #BJP"
48,PrakashPnegi,"@LokeshSharma085 @ArvindKejriwal You play divisive politics and put blame on modi that he is a danger to integrity of this nation. What do u mean by Muslim vote shifted to Congress😡😡 they simply did not like your 💩💩💩 politics,  divisive politics. #MainBhiChowkidar  #LokSabhaElections2019"
49,dev_muzic,"@YashwantSinha Sadhvi no doubt will pay for what she has said. 
But u were associated with the saffron party for so long, what makes you launch anti-campaigns now? Remember, the entire #BJP, unlike the #Congress, is not muddy. 

NaMo again. I support @narendramodi"
