,User,Tweet
7675,TheHeartOfIndia,@IndiaToday Let Modi come back. Article 370 will be scraped for sure. Thats why all the traitors are getting united. #Mahagathbandhan #LokSabhaElections2019 #ModiOnceMore
7676,POKHARKARRAVI26,"Do something for Farmer.....
#PMModi #Government #maharastra #BJP"
7677,Gaurav_P_Sharma,"The biggest victory for @narendramodi is achieving #congressmukhtbharat

Today the @INCIndia &amp; @RahulGandhi talk about schemes involving people on basis of age, monetary status.. not on the basis of religion, caste and beliefs

Politics silently changed for good
#BJP
#NDA
#LS2019"
7678,Yuvraj0587,#AmitShah #Rajasthandiwas #RahulGandhi  99 perc Minorities against Modi Government...  Majority must think about it
7679,madhusudan41,Results of a data-driven analysis of how the discontent over #MainBhiBerozgaar will  play out in the #LokSabhaElections2019 are not at all reassuring for the Modi government.
7680,Haikal_MN,@KiranKS @narendramodi With #InternationalDiplomacy   #SurgicalStrike #BalakotAirStrike #ASAT #PMModi has set a standard for using #MilitaryPower so that future #BJP #Karyakarthas who aspire to become #PM can emulate.
7681,PVenkatGandhi,"Its a pity #LokSabhaElections2019
Opposition Parties are Failing to Hold PM Modi Accountable for #demonetisationdisaster and not doing their job to represent the Huge Pain Every India was subjected to without any Purpose
Not Just their Money their time was Snatched &amp; Hurt Economy"
7682,PreetSonpal,"@PChidambaram_IN You say that oy foolish government will quote the defence secrets, why the hell are you asking Rafale Price? @BJP4India @narendramodi @AmitShah #indianpolitics #bjp #MainBhiChowkidar"
7683,BihariSarpanch,"Think.
If Modi got 434/543, how many reforms would he bring for a better nation!

Rajiv G wasted the opportunity, RahulG doesn't want Modi to get such chance. Don't just vote, but know about works done by this govt and convince other ppl

#2019Elections #LokSabhaElections2019
#"
7684,IShrenikMaharaj,"#ModiSpeaksToBharat
PM Modi mentions how the strict laws of his govt against economic offenders are reaping results. Properties worth Rs 14,000 crore belonging to Vijay Mallya have been seized even though total liability against him stands at Rs. 9,000 crore, he says.#BJP"
7685,IShrenikMaharaj,"#ModiSpeaksToBharat
Talking of the strict laws to crack down heavily on the corrupt, PM Modi says that we made a law for the fugitives, wherever in the world they hide, their money can be confiscated. The law is taking its course with the extradition of fugitives now. #BJP"
7686,AnjivKumar,"@narendramodi Corruption.. Robert Vadra...werethe major issues in 2014 .Modiji please tell how many Congress MP's were jailed in last 5 yrs for scams ? Why Vadra wasn't sent to jail ? Why Achedin, employment ,Uniform CivilCode,370,15lac missing from your speeches?#Congress #Elections2019 #BJP"
7687,kishore__seervi,"@narendramodi India needs a full fledged #BJP govt headed by #NaMo for full fledged development.

Every vote voted to nationalist will go to making of modern India.
#NarendraModi #NamoAgain"
7688,kkhemkaa,"@AartiTikoo @AsYouNotWish @narendramodi The clear show of KHAUF. This is clear indication for the true nationalists to vote for MODI.
#DynastyMuktBharat #ApnaVoteSahiHathMeDijiye #BJP #CharsiPappu #BJPWinning"
7689,SyedGulzar_k,"Those who cry that India can't survive without MODI, remember that his wife YASHODABEN is doing fine without him for 45 year.. 

#NarendraModi 
#BJP 
#DhruvRatheeExposed 
@dhruv_rathee 
@narendramodi 
@abhisar_sharma ..
Plz dhruv Bhai Ye msg per comment Kariye or isko viral karo"
7690,shivamsverma,"Wht kind of govt admin experience @RahulGandhi has? He was never a cabinet minister or CM. He is an MP from Amethi only b'coz it is the traditional seat of INC. Why media is portraying him as a PM candidate?
#LokSabhaElections2019 #BJP4India 
@indiatvnews  @aajtak @republic"
7691,abu_dawood_2k7,@TOIIndiaNews Why @rajnathsingh should not be sacked for security failure in #pulwama? Why #AjitDoval should not be sacked for intelligence and security failure in #pulwamaterrorattack? Why #BJP and @narendramodi failed to sack them for security lapses? Had the country first for bjp or modi?No
7692,giv_a_damn,"In conversation with Uber Driver in US...
He: So sir, what's going on back in India.

Me: Election coming up.

He: Modi is coming for sure. How can Rahul come in power? 

Me: Just like Trump came in US!

He was so happy, he charged me less for the ride.
#Chowkidar #RahulGandhi"
7693,AGChowdapurkar,@Tejasvi_Surya Yes brother you are best representative to the LS. you are encouraging many youngsters to join #bjp and #RSS to do something for the nation. @narendramodi @BJP4India @RSSorg
7694,mragank_rastogi,"@ShefVaidya @narendramodi I will pity on #BJP that it could not even muster 10 filmmakers to issue appeal for it's support who are not known to be part of #BJP,"
7695,mragank_rastogi,"@LegalKant @narendramodi No Need to ask question. He was making tall promises for #BJP just like @RahulGandhi doing right now for #Congress. it is upon 'cattle class people', whose offer  they like most."
7696,News9Tweets,"PM @narendramodi spoke about connecting #Delhi to the #NorthEast. Has #NDA govt shown a connect with North East over last 5 years?

#LokSabhaElections #LokSabhaElections2019 #NAMOforAssam #NorthEast4Modi #ArunachalPradesh #Assam #NarendraModi #BJP #Congress @BJP4India @INCIndia"
7697,dr_rajpurohit,"@vinod_sharma @Isay_Chaps @BJP4India @AmitShah @rajnathsingh @nitin_gadkari @uddhavthackeray @digvijaya_28 True. Two former BJP Presidents Rajnath Singh Ji and Nitin Gadkari Ji were also present there.

Since Amit Shah Ji's ambition is clearly seen now therefore they shouldn't dream to become even 'Emergency PM Candidates' even if NDA fails to get majority in #LokSabhaElections2019!"
7698,Murali41270268,"#NarendraModi Namaste
PM sir, this time BJP get 5-6 seats in Kerala 100%.  Tks"
7699,deepak_pawane,"@INCIndia Don't worry common people with Modi ji
#LoksabhaElections2019"
7700,theaviralguptaa,Haha sometimes I compare US Presidential Debates to the kind of points our parties raise and it’s just absolutely hilarious. I am sorry but I just don’t see a credible PM to lead us as of now! It’s like choosing who’s the lesser evil of the two #IndianElections #Modi #RaGa #BJP
7701,smohantyblr,They way @RahulGandhi s saying he will destroy @NITIAayog that shows his mindset of kingship or Royal dynasty. He will not respect anything build up by ordinary Indian citizens. @PMOIndia @narendramodi ji should make strong protest against assault on institutions. @AmitShah #BJP
7702,adarsh_appa,"@CNNnews18 @MehboobaMufti @islahmufti Don't worry @MehboobaMufti. @narendramodi is beating black and blue who give statements like this. You are not too far. Wait for your turn to come or ask Yasin Malik his exp on where Modi put Danda for him.
Hope u will enjoy jail treatment
#LokSabhaElections2019"
7703,want_awesome,@drshamamohd We don't need #Naamdaar Modi we need #Kaamdaar #MeBhiBerozgaar #LokSabhaElections2019
7704,sa8ypr,"Modi won't say,
मेरा यूथ सबसे मजबूत। 
But, he has said,
मेरा बूथ, सबसे मजबूत।

Only advertisement, propaganda,
And slogan with full force every year. Smaller slogan twice a year. 

#BJP must be defeated."
7705,drrinadas,"@PeacefulHind @RameshVaghani @narendramodi *which yrs r u talking about?
*what was total population then? 

*how many of the #fundamentalrights were made available, #direct2beneficiary #DTB
to people, esp #weakersections of Nation/states,
&gt;then,under #Congress's #UPA, and &gt;now,under #BJP's #NDA! 

So, see why #BJPWinning!"
7706,KhalNayagan,"This election is a testament of Indian psyche.
I know people who say I lost money due to demonetization and GST but I will vote Modi for future of my kids and country.
No other country can have such people.
#LokSabhaElections2019"
7707,ShaktiShekhar,Who will win #LokSabhaElections2019 which is clearly a contest between #Chowkidar Narendra Modi &amp; Leader of 'India's First Family' Rahul Gandhi?
7708,INCdilse,"@IMA_Indian @MILVETERAN Yes. Modi want #LokSabhaElections2019 to be like it was in Pakistan in 1980s and 90s when Pak politicians competed to demonise India.. After all RSS-BJP dream is too make India, Hindu Pakistan."
7709,Sukdurrani,@narendramodi People of #Assam know the real face of #Modi and #BJP. Assam people most ignored #Indians.
7710,shah_1972,@INCIndia Yes. Congress politicians will all be jobless once Modi wins #LokSabhaElections2019 #Modi2019Wave
7711,ABHISHE90984974,Now its time for north east to grow faster under prime minister Modi . Vote for #Modi.vote for #bjp #NorthEast4Modi
7712,vipulvalaki182,"@ShatruganSinha you are a selfish person because aapko jab bjp NE ticket nahi di  to congress me chale Gaye.. ab tak bjp bjp kar rahe the, modi ko achcha bataa rahe the aur Ab ticket nahi mili to congress achcha Ho gayaa. #Selfish #bjp #congress #NoVoteForShatrughan"
7713,gkrishna98,@bhuvikal @Ray_luxuryyacht @klnbjp @MuralikrishnaE1 @narendramodi Ofcourse my language is more than worst if it comes about #BJP assholers
7714,dt_next,"#BREAKING #Assam, rest of Northeast suffering from infiltration problem due to policies of previous Congress government, Modi tells #BJP rally in Assam's Gohpur."
7715,ishitagg,"O% cooperation 100% corruption for #startups by @BJP4Haryana Open loot by @PowerHaryana Why the @makeinindia @startupindia farce @PMOIndia  @narendramodi - No #BusinessForIndia under #BJP 
Highly saddened by the level of extortion"
7716,munafno1,Inspite of not agreeing on everything what #BJP says I still feel dat @narendramodi is de best PM our country could have at de moment.Yes I disagree with him on few issues but overall in these 5 years he has done a decent job n hope dat in the next 5 years he will do better work
7717,sumerchoudharyy,"If you’re with Modi you are with India 🇮🇳
#BJPWinning #bjp #Elections2019 #NamoNamo"
7718,paikrayster,The country shd n’t go to hands of ths ppl who rulled fr a decade and Nation is still under development. The nation needs Modi again #BJP #ChowkidarNarendraModi
7719,kriyakumaravel,Who will form central government?  #BJP #CongressMuktBharat #DMK #ADMK #BJPWinning #Congress @narendramodi @RahulGandhi @HRajaBJP @AmitShah #NorthEast4Modi #India
7720,guptha1989,"I have got BJP election campaign calls from the below number +911204663900. My number is registered in DND. Please follow the ground rules BJP. #narendermodi #PMO
#pmoindia #BJP @narendramodi @nitin_gadkari @manojsinhabjp @SushmaSwaraj @gayathriraguram @arunjaitley"
7721,mechaero247,"@republic why don't you change your name as @BJP4India TV or @narendramodi tv, always campaigning 4 #BJP
#journalist"
7722,beingnutan,"Will be taught in history To defeat #BJP, all the parties had to fight together, there was such a strong leader #Narendra Modi"
7723,Ram13938707,"@ShashiTharoor @ShashiTharoor is feard that if modi gov come again he has to go Jail.
So if you people of india want to send him jail, please vote for modiji
#LokSabhaElections2019 
#ModiOnceMore 
#VoteKar"
7724,ModiPradip,@arunjaitley @nitin_gadkari @AmitShah @iPankajShukla @vijai63 @JPNadda @PiyushGoyal @narendramodi #NarendraModi @VIBRANT_MSME @hvmojidra @BJP4Gujaraat @BJP4Ahmedabadd @rssurjewala @RSSorg @rammadhavbjp @OmMathur_bjp @vskgujarat @bharatpandyabjp @nsitharaman must reply
7725,saaaaaheb,"Bhakt: God will punish you if you make fun of our Modi Ji!!

Normal Human: I know.

Bhakt: You know really??

Normal Human: Yes.
We made fun of Dr. Manmohan Singh ji..
God punished us and gave us Modi Ji!

#ChowkidarChorHai #BJP #Congress 
#TrinamoolCongress #Trinamool #India"
7726,UttarrPradesh,"This is first #LokSabhaElections2019 in 70 years, issues like Water, Electricity, Roads, Gas, Urea etc have no place.

This shows @narendramodi Govt has almost solved these issues like never before.

The only issue remains for opposition is 'Modi Hatao'.

Be wise while #VoteKar"
7727,HSE_Officer07,"Narendra Damodar Modi Says:- “Standards of living has improved since bjp come to power”.

“He forget to ad “MY” at the start of the sentence”
#mainbhichowkidaar Chor hai
#MainBhiBerozgar 
#BJP 🤣🤣"
7728,NewsHtn,"#LokSabhaElections2019: PM Narendra Modi in Dibrugarh, Assam, ’Only a 'chaiwaala' can understand the pain of 'chaiwallas''"
7729,aditheesh,@sardesairajdeep @narendramodi @htTweets It's a liability for #BJP today.Too much exposed. BJP always ask the opposition what is the alternative other than #Modi .The fact is BJP also don't have any alternative. BJP lost the name since it is #MODI and #Modisarkar only.BJP need to come out of this jinx to reinvent itself
7730,ddnews_jammu,PM #NarendraModi launches BJP's election campaign in Northeastern region of country from Arunachal Pradesh; Accuses Congress of neglecting development of state and its people.
7731,ShaktiShekhar,"Those who are in bail &amp; those who would have been in jail are abusing a #Chowkidar...: PM @narendramodi in Aalo, Arunachal Pradesh.
PM Modi says ""Main Bhi"", people say Chowkidar. #MainBhiChowkidar 
#LokSabhaElections2019"
7732,NewsWorldIN,"""The Congress rule has reduced the identity of India to that of a victim. Now, you have to decide upon which government you want to elect to power —a powerful government or a tainted government"" Says PM Modi
#LokSabhaElections2019   @amitmalviya @AmitShah @TajinderBagga"
7733,leo_patel_,@TheSamirAbbas Actually it's not.there is no name of #BJP or @narendramodi  so chill
7734,UnitedNMB,"It's not about Voting Narendra Modi or Rahul Gandhi.
It's about choosing a person who will make India better.
I know which one will make it happen.
#NarendraModi #2019Elections"
7735,dt_next,#BreakingNews People are happy with #BJP government but it is only Congress and terrorists who are not happy: PM Modi at Moran rally.
7736,madhusudan41,"For 'Godi Media"" it is not  necessary to question the policies like #Demonetization  &amp; flawed #gst But  evident that Modi has been absolved of accountability and responsibility for failures and shortcomings in governance.#LokSabhaElections2019"
7737,dhanjit5861,"Why Assam will vote for Modi ?
1. For building Bhupen Hazarika bridge
2. Bogibeel bridge
3. Rope way over Bramhaputra
4. Bharat Ratna to Bhupen Hazarika
5. Giving AIIMS at Guwahati
And many more Big infrastructure projects
#NorthEast4Modi #ModiOnceMore #LoksabhaElections2019"
7738,terence_fdes,"@maneeshchhibber @ShekharGupta Modi is left with just Gobar to sell to citizens of India

Let’s #KickThemOut in #LoksabhaElections2019"
7739,madhusudan41,"Modi  banking on  ‘Bramhastra’ (the ultimate weapon) of nationalism to take care of criticism for his failure to deal with the #economy, create #jobs, unearth #blackmoney and reduce #corruption and  back foot on performance, for weakening institutions #LokSabhaElections2019"
7740,Legaloids,"Bombay HC Issues Notice To ECI In PIL Seeking Stay On Release Of Biopic On Narendra Modi
#Mumbai #highcourt #NarendraModi #Biopic"
7741,rarunrajan,"I hope the movie director and producer understand the MCC and wait until elections are over for the modi biopic movie to be released.

#artist #modi #VivekOberoi #namo #2019 #elections #vote #BJP #movie #timing #MCC #EC #violation #art #notright #time #producer #director"
7742,rarunrajan,"Modi Biopic gives upper hand to BJP, I respect Vivek as an artist and appreciate his great acting in the movie but this is not the right time to release the movie.

#BJP #NAMO #Modi #Biopic #VivekOberoi #artist #art #movie #timing #elections #2019 #vote #EC #MCC #violation"
7743,baig_arfath,"@narendramodi @PMOIndia #RahulGandhi #PriyankaGandhi @OfficialUrmila_ 
2014 Modi made promises to Nation, 
1) 15 lakhs
2) End of Terror
3) Bringing back to Dawood Ibrahim
4) 2cr Employment
5) Make in India
6) Ram Mandir 
Anything happened ?
#Nationwantstoknow"
7744,madhusudan41,"4 the first time in free India  Modi  has gone out of its way 2 hide statistics prepared by its own officials because they r not flattering.'Godi Media' not questioning Govt but blasting Opposition even as official statistics are tweaked, twisted &amp; hidden.#LokSabhaElections2019"
7745,iMrProfessor,If you really love India then vote for @BJP4India. At least they have a vision and most importantly they have a supreme leader @narendramodi. I sure Modi will take our country forward and forward. This is the reason I can vote to BJP and i hope you will. #LokSabhaElections2019
7746,KashyapVk,"Welcome to Assam @narendramodi Sir. Thank u for Blessing Assam with Development , Growth , Progress and Lots of Love. #AbkiBaarPhirModiSarkar #VoteKar @sarbanandsonwal @himantabiswa vote for Development , Vote for #bjp 🙏🏻🙏🏻🙏🏻🙏🏻🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳"
7747,SarawgiRahul,"Ok

Now our honourable PM has his own TV channel

👉Content TV 👈
(also previously named NaMo TV)

Hope it was Chowkidar TV

The Indian Elections are AWESOME

#ChowkidarPhirSe #BJP #MainBhiChowkidar #IndiaElects #IndianElection #LokSabhaElections2019 #ApnaVoteSahiHathMeDijiye"
7748,bholaBacha21,"@narendramodi Thank you modi ji 
Chowkidar from rajasthan 
#BJP"
7749,Sowe_19,"@narendramodi Sir, do you have guts to face the press conference before 2019 election like Manmohan Singh did before 2014 election. #LokSabhaElections2019 #BJP #Congress #ManmohanSingh #RahulGandhi #amitshah #RavishKumar #KanhaiyaKumar #PriyankaGandhi"
7750,y2wSJKIAB8OQ8RI,"सिकन्दर पुराना हो गया 
अब से जो जीता वही ""नरेन्दर""
🇳🇪💪🇳🇪
#NarendraModi 
#ModiSpeaksToBharat
Reiterating his commitment towards strengthening the security of the nation PM Modi said that when jawans life is at risk I cannot stay uninvolved. I told the armed forces to make a plan."
7751,amjeebanjyoti,"@MANJULtoons @Patriot_Talks Dear @MANJULtoons 

Even TV debates not focusing BJP vs Mahagathbandhan. There's Modi Vs Rahul perception.

Next Govt is either UPA+ or NDA+
#LokSabhaElections2019"
7752,bulbulkharbanda,"Conversations with can guy - Madam kisko vote doge?
Please Vote for #BJP bring back modi 
Me  🤦🤦🤦🤦"
7753,scroll_in,"#ElectionWatch: Modi says Opposition leaders have no one in India but Pakistan has been singing their praises. 

""When our country does something good, when it achieves something, these leaders are not proud.""

#LokSabhaElections2019"
7754,AbMohanty858,"@JayKara05934071 @BJP4Odisha @narendramodi @AmitShah @PandaJay @ChhabiMahali @jyotsnadevi33 Thank you my brother for such respect, my brother i decide to quite #BJP but not you people , we was succeed here cus of you people i hadnot done anything alonely. And dont worry we will continue our social work as before . 😇😇"
7755,JayKara05934071,"@AmitabhMohanty9 @BJP4Odisha @narendramodi @AmitShah @PandaJay @ChhabiMahali @jyotsnadevi33 Bhai i remembered one thing in 2015 when we first time planting banners of @BJP4Odisha in our barabati constituency peoples were kidding to us, but due courageous nature of you &amp; #pintu_nana we had make our base here, 
I can definitely say #BJP going to loose a best youth leader"
7756,shivam_suthar7,"@narendramodi ji Live from ArunaChal Pradesh. 
#BJPWinning #BJP #Modi"
7757,dt_next,"#BREAKING If Indira Gandhi can get credit for dividing #Pakistan, why shouldn't PM #NarendraModi get credit for #BalakotAirStrike, asks Rajnath Singh."
7758,akaATP,"#Rahul is the biggest campaigner for @BJP4India and @narendramodi .  #BasicIncome 72000/ year to all Indians, are you Kidding? #NITIAayog is going to be scrapped, but Why? #MaiKamalKhilaneAyaHu #ModiSpeaksToBharat #ModiOnceMore #Modi2019Wave #BJP"
7759,RuchiLee,@abpnewstv @airindiain @narendramodi #BJP flouting in all the ways possible and #ElectionCommission is dozing off 😴 #ChowkidarSoRahaHai @BJP4India
7760,Niks_2180,"Where is the election manifesto #BJP #Congress
@Parthajosh @mukta_kirloskar @AmitShah @narendramodi @BJP4India @RahulGandhi @INCIndia"
7761,TOIAhmedabad,"The country has got the PM like @narendramodi after 70 years. I appeal to the people of #Gujarat to make son of Gujarat PM again. 'Fir ek baar, Modi Sarkar' : @AmitShah #LokSabhaElections2019 #ElectionsWithTimes"
7762,super378,Why don't @ZeeNews change its name as #bjp propoganda channel was just watching it the female anchor asking has ghatbandhan has like this leaders showing Modi and shah and says Modi dubara pm Banna sure hai as if she knows future what a cheap characterless sold presstitutes
7763,utsavpansari,"@Ashtalakshmi8 I will vote for #NarendraModi because I want a strong nation I want development and corruption free nation so #NamoAgain

Strong and prosperous India is the need of the nation and every Indian today is saying Modi is good for the country.

#BJPWinning 
#PhirEkBaarModiSarkar"
7764,pilot_2019,"Indepedence of media can seen by fact that no news channel is comparing 5 year of modi govt Vs 5 year of Dr Singh govt..
#LokSabhaElections2019"
7765,realzappydhiman,"#MainBhiBerozgar 
Modi promised 2 Crore jobs but India today stands at an all time low job rate in 45 years
#LokSabhaElections2019 
#BJP_भगाओ_देश_बचाओ"
7766,utsavpansari,"@rsprasad @narendramodi @BJP4India @BJP4Bihar @PMOIndia @nkishoreyadav @schaurasiabjp @AmitShah @SushilModi Modi could have ignored India's development but he is on mission to make #BharatMata super power in the world.

Electricity gas toilets were basic things which should have been done long back.

Every Indian is proud of #NarendraModi for working hard for development of #NewIndia"
7767,girishjohar,"As per reports, Ex-BSF jawan Tej Bahadur Yadav, who was sacked from service after uploaded videos of poor quality food being served to officers, has announced that he will be contesting the #LokSabhaElections2019 against PM Modi from Varanasi."
7768,maneever,Unemployment rate is high in 45year . Its become 6.1% now. Our govt should not avoid these data. #Election2019 #NarendraModi #chokidar narender modi #unemployment #economy
7769,vishk9,"Waise is chunav mein #modi bhakto ka bhi bahot bada katne wala hai. Chances are high that if bjp forms the gov, shah will do to Modi what Modi did to advani and Joshi to be the new badSHAH #margdarshakmandal 2.0. #LokSabhaElections2019"
7770,mountains689,"Thanks modi ji for forcing me to google nehru's contribution to India...now I respect Nehru even more...
#LoksabhaElections2019"
7771,kumardurgesh262,"@narendramodi Sir,I have a prayer from you that please read my tweet once After reading the tweets,understand my pain and sir and you will join us in your #Party,And I promise you that I will not leave the #BJP till I die.Just listen to me once.
Shri @narendramodi Ji"
7772,EngrFarmanKhat1,"@tv9gujarati Wooòoow Great, Congress is Great and well educated party's,  but #NarendraModi #ModiDisrespectAbhinandan 
Nareneder modi is terrorist party ,never want peace, and results more lost to India"
7773,JiNashila,"Love you Modi Sir  🙏🙏🙏🙏
I feel proud coz u r our Prime Minister  Again this Year 💕💕💕💕@narendramodi #NarendraModi #ChowkidarPhirSe"
7774,r4ravisharma,"Beauty of #Democracy is.. you can check, questions and protest your leadership and his decisions!!
When things goes out of control..wait for the election.. through em out!!
I am in favour of one more chance to #Modi vote for @narendramodi 
#LokSabhaElections2019"
7775,M_K_Arora,"The hate Narendra Modi campaign that Congress and the opposition have promoted has gained its strongest support in Pakistan.

""All Indians know what does it means""

#LoksabhaElections2019"
7776,gemnidhi,U just have to be a deshbhakt n u will automatically become Modi bhakt #BJPWinning #BJP
7777,VINEET1966,@SalmanSoz @IndianExpress Laffable ... Article 371 must go n in the next term of @narendramodi and @BJP4India it will be history .. this is your actual concern to spread false propoganda ... Do what you want but #BJP is coming back to power .. be ready to fully integrate
7778,SanjibKBasu,@sampadscales @rashtrapatibhvn @VPSecretariat @PMOIndia @HMOIndia @ECISVEEP @SpokespersonECI @narendramodi @rsprasad @AmitShah @KirenRijiju @Ra_THORe @BJP4India @BJP4Bengal @KailashOnline @SuPriyoBabul @DilipGhoshBJP @RahulSinhaBJP #BJP has strong cadres like ARJUN SINGH etc  They should give him task to protect their own people.
7779,drachintya,"#NarendraModi Honestly there has been a buoyant self-respect about India after the government led by Modi. Further, India achieved one thing under Modi that India will not let any insurgency lying down. The response from Modi is much different. Will support Modi on that alone!!"
7780,drachintya,#BJP India achieved one thing under Modi that India will not let any insurgency lying down. Surely Modi is much different. The social steps the BJP government led by Modi is trying to do are very essential for the continued survival of India. Will support them on that alone!!
7781,Pinaka_6,"##BJP Eyes on TS Seats ##
An Action Plan is ready to strengthen the party by 2023.
KCR projecting himself as Kingpins for uniting Opposition parties. forgetting there is a king and no use of being with Anti Modi Team."
7782,bharatsh3,"Congress led UPA
Surgical Strike : Don't do it
Air Strike: Don't do it
A-SAT Missile: Don't do it

Modi Sarkar
Surgical Strike: Go For It
Air Strike: Go For It
A-SAT Missile: Go For It

Modi Hai To Mumkin Hai. #MissionShakti #RahulGandhi #NarendraModi #nirmalasitharaman"
7783,NewsHtn,"#LokSabhaElections2019: EC sends a second notice to Ministry of Civil Aviation, seeking a reply by today on why PM Narendra Modi's picture was seen on boarding passes at the Madurai Aiport"
7784,WCepiphany,If the Modi government has fixed the open defecation problem even by 30 percent I would vote him back into power. Though lynching over beef has to be stopped. @BJP4India #NarendraModi #MobLynching
7785,Anekant76,"If you are spitting on the sky..Spit will remain fall on your mouth. Opposition should advertise himself without blaming Modi .
#BJP
#ModiSpeaksToBharat 
#PMModi #PMO 
#आप #AAP #arvindrakejriwal"
7786,abhay0629,@RahulGandhi I am surprised to hear discussion of class X students appearing for board exam that there’s no democracy in a political party Congress or any party with name“Congress”in it.Kids to understand it now.@Swamy39 @DeoKalikesh @narendramodi @AmitShah #congress #bjp #tmc #ncp #ShivSena
7787,mavisanjeev7,"PM Modi ji was entitled to address our 🇮🇳 on Important Issues like Successful Completion of Mission Shakti. 
Such Lack of Awareness among the Opposition shows how much knowledge they possess. 
#RahulGandhi
#ChowkidarAmitShah
#RubikaLiaquat
#LokSabhaElections2019"
7788,ankit57212351,@narendramodi @PMOIndia @rajnathsingh Forced to take the sahara of social media. Why have simple and basic infrastructure and cleanliness tasks in Lucknow colony's not been taken care off? Whats going to change these elections? #lucknow #LokSabhaElection2019 #BJPVijaySankalp #BJP
7789,twitpc08,"With @ArvindKejriwal expelling yogendra, bhushan, vishwas &amp; every1 who supported him in bad days, but Modi still keeping all challengers still in BJP, is there a word calld democracy or harmony or co-existence in Kejru,s dictionary ? #LoksabhaElections2019 #RahulGandhi #ModiAgain"
7790,nirajjournalist,"Brk/flash/Sources:
UP Chief Electoral officer sent report to ECI on Rajasthan Governor Kalyan Singh remarks in Aligarh, UP on March 23. He had said that Narendra Modi and BJP should be re-elected. EC is examining the report of CEO, UP.
@INCIndia
@BJP4India
#LokSabhaElections2019"
7791,NarvirS63622940,"@_pratibha_bali_ @narendramodi @AmitShah @jairamthakurbjp @ianuragthakur @MrsGandhi There is no competition of #BJP4INDIA with #INC around them,around in india there is only @narendramodi ji"
7792,beautyworld1996,"@narendramodi Not to #BJP
Only for #Congress
#RahulForBehtarBharat"
7793,RanaABK,@sgvichitra @BJP4India @MrsGandhi @amitmalviya @ModiBharosa @narendramodi_in #Modi and #BJP supporters are going crazy. You can’t show an Indian new channel and say it’s Pakistani news and then some how claim it’s unequivocal proof. Please return to reality and start asking Modi why #IAF shot down its own helicopter. #PakistanZindabad #imrankhanpti #PAF
7794,jitengajaria,"72k per month. I hope those who believed Cong fake propoganda on Modi promising 15 lacs, now worry about how Rahul plans to take away 15 lacs from their account to fund a hare brained #NYAY . Extra aana chodo, Rahul jitna hain woh nikaal dega #LokSabhaElections2019 #NyayKaSach"
7795,bajaterahotv,"@payers_tax @Dev_Fadnavis @AmeetSatam @ashokepandit @ShelarAshish @MNSPrashantRane @sanjaynirupam @BJP4India @narendramodi @CMOMaharashtra @AmitShah @BJP4Maharashtra @BJYM Its Simple Either Corrpution or Not Capable to Remove is Hawkers, who using foothpaths illegal
 
Am i right #BJP MLA @AmeetSatam ? 

What Development Work Done by You?  

 @Dev_Fadnavis Would like to bring to your notice your bjp fails to solve small issues 
@ashokepandit @dna"
7796,baig_arfath,"#INDIA #RahulGandhi #PriyankaGandhi
Attention please !!!!
Anyone's want to learn how to tell lie and how to make fool, join BJP rally or stage program of @narendramodi @AmitShah  will teach, both Modi ji &amp; Amit Shah are expert's"
7797,vishalmudgal10,"#BJP
#MainBhiChowkidar
Citizens support New India which is fighting corruption, dirt, terrorism &amp; poverty. They pledge their support to the Chowkidar of India, PM Modi who is building a New India which is strong, secure &amp; prosperous.
via NaMo App"
7798,gkrishna98,"@bhuvikal @Ray_luxuryyacht @klnbjp @MuralikrishnaE1 @narendramodi We are educated that's why we can't support
 assfu***king #BJP and I salute my middle finger to Ur so called great leader #Modi #Saynotomodhi"
7799,AmiteshBhatt,Happy April fool in advance to all the people who still expected election commission will take any action against modi or BJP after seeing bjp announcing election dates before them Lost hope in any institution of India. #LokSabhaElections2019 #Election2019
7800,AbhishekDenver,@BDUTT @ghanshyamtiwari @Ish_Bhandari @SalmanSoz Modi has enough things to show inspite of these surgical strikes . A big thing is no big scams like upa gave us every year like a near year present #Narendramodi
7801,ashishtayal_,"@RahulGandhi ""If"" will become ""uff"" on 23rd may 19.. you already know this fact Mr Rahul.. Correct me ""if"" I m wrong.
#KahoDilSeModiFirSe
#ModiSpeaksToBharat 
#LoksabhaElections2019 
#IndiaElects 
#VoteKar 
@narendramodi 
@BJP4India 
@BJP4Haryana"
7802,sharath_haritas,Never felt more nervous ! Cannot imagine Modi losing this election. If it happens all hell will break loose. Hope the common man rises above regional and caste lines. @mepratap @BJP4India #ModiSpeaksToBharat #LokSabhaElections2019
7803,indiangary,"@TajinderBagga Sonia Gandhi's right-hand Ahmed Patel's close aide Hitesh Patel accused in Sterling Biotech case got arrested in Albania for ₹8100 crore bank loan fraud; to be extradited soon. He gave smething big to #AhmedPatel Delhi House, No congratulatory tweet from #RahulGandhi to PM Modi."
7804,GSRBJP,"#ModiSpeaksToBharat
PM Modi talks of development for all that is reaching the last mile today. He says that the number of gas connections #Congress gave since independence has been given by #Modi govt in just 5 years. @INCKarnataka #RahulGandhi"
